Environment,Transect,Plot,PlotID,Common name,Family,Scientific name,Amount,Native,Notes
Forest,2,B,2B,Open-flowered witch grass,Poaceae,Dichanthelium laxiflorum,2,Yes,
Forest,2,B,2B,Indian goosegrass,Poaceae,Eleusine indica,3,No,
Forest,2,B,2B,Smallflower pawpaw ,Annonaceae,Asimina parviflora,1,Yes,
Forest,2,B,2B,Maple-leaved arrowwood,Adoxaceae,Viburnum acerifolium,2,Yes,
Forest,2,C,2C,Muscadine,Vitaceae,Vitis rotundifolia,1,Yes,
Forest,2,C,2C,Crossvine,Bignoniaceae,Bignonia capreolata,1,Yes,
Forest,2,C,2C,Chinese privet,Oleaceae,Ligustrum sinense,5,No,
Forest,2,C,2C,Purple passionflower,Passifloraceae,Passiflora incarnata,1,Yes,
Forest,2,C,2C,River oats,Poaceae,Chasmanthium latifolium,2,Yes,
Forest,2,D,2D,Hearts-a-bustin',Celastraceae,Euonymus americanus,1,Yes,
Forest,2,D,2D,Chinese privet,Oleaceae,Ligustrum sinense,7,No,
Forest,2,D,2D,Indian goosegrass,Poaceae,Eleusine indica,1,No,
Forest,2,D,2D,Christmas fern,Dryopteridaceae,Polystichum acrostichoides,1,Yes,
Field,3,A,3A,Sawtooth blackberry,Rosaceae,Rubus argutus,1,Yes,"This habitat had abundant coverage of kentucky bluegrass, likely to have spilled over from nearby sport field. This may well have accounted for thousands of individual plants, even within our 1 square meter quadrats, skewing the data significantly. This was unforseen, and for that reason, I have chosen to ignore it for the purposes of this study. "
Field,3,A,3A,Wild garlic,Amaryllidaceae,Allium ursinum,5,No,
Field,3,A,3A,Broadleaf plantain,Plantaginaceae,Plantago major,1,No,
Field,3,A,3A,Curly dock,Polygonaceae,Rumex crispus,1,No,
Field,3,A,3A,False strawberry,Rosaceae,Potentilla indica,1,No,
Field,3,A,3A,Creeping speedwell,Plantaginaceae,Veronica filiformis,1,No,
Field,3,A,3A,Henbit deadnettle,Lamiaceae,Lamium amplexicaule,2,No,
Field,3,B,3A,Ground ivy,Lamiaceae,Glechoma hederacea,1,No,
Field,3,B,3B,Open-flowered witch grass,Poaceae,Dichanthelium laxiflorum,3,Yes,
Field,3,B,3B,Bitterweed,Asteraceae,Helenium amarum,1,No,"Native to NA, but not to this region"
Field,3,B,3B,Wild garlic,Amaryllidaceae,Allium ursinum,3,No,
Field,3,B,3B,Stickweed,Asteraceae,Verbesina occidentalis,1,Yes,
Field,3,B,3B,Curly dock,Polygonaceae,Rumex crispus,1,No,
Field,3,C,3C,Ribwort plantain,Plantaginaceae,Plantago lanceolata,1,No,
Field,3,C,3C,Wild garlic,Amaryllidaceae,Allium ursinum,1,No,
Field,3,C,3C,Curly dock,Polygonaceae,Rumex crispus,2,No,
Field,3,D,3D,Wild garlic,Amaryllidaceae,Allium ursinum,4,No,
Field,3,D,3D,Open-flowered witch grass,Poaceae,Dichanthelium laxiflorum,1,Yes,
